2024-04-26 00:03:06  | User: user1       | User user1 enrolled
2024-04-26 00:03:07  | User: user1       | User user1 enrolled in the volunteer scheme
2024-04-26 00:06:05  | User: user1       | User logged in   
2024-04-26 00:06:09  | User: user1       | User user1 enrolled in the volunteer scheme
2024-04-26 00:09:24  | User: user1       | User logged in   
2024-04-26 00:11:50  | User: user1       | User logged in   
2024-04-26 00:11:50  | User: user1       | User user1 enrolled in the volunteer scheme
2024-04-26 00:12:56  | User: user1       | User logged in   
2024-04-26 00:13:26  | User: user1       | User logged in   
2024-04-26 00:13:30  | User: user1       | User user1 enrolled in the volunteer scheme
2024-04-26 00:16:57  | User: user1       | User logged in   
2024-04-26 00:16:59  | User: user1       | User user1 enrolled in the volunteer scheme
2024-04-26 00:22:55  | User: user1       | User logged in   
2024-04-26 00:23:07  | User: user1       | User user1 enrolled in the volunteer scheme
2024-04-26 00:23:59  | User: user1       | User logged in   
2024-04-26 00:24:29  | User: user1       | User logged in   
2024-04-26 00:25:11  | User: user1       | User logged in   
2024-04-26 00:33:28  | User: user1       | User logged in   
2024-04-26 00:37:16  | User: user1       | User logged in   
2024-04-26 00:39:29  | User: UNKNOWN     | Login attempt failed
2024-04-26 00:39:32  | User: user1       | User logged in   
2024-04-26 00:41:55  | User: user1       | User logged in   
2024-04-26 00:42:18  | User: manager1    | User logged in   
2024-04-26 00:42:33  | User: manager1    | User Edited      
2024-04-26 00:43:15  | User: user1       | User logged in   
2024-04-26 00:43:18  | User: user1       | User user1 enrolled in the volunteer scheme
2024-04-26 00:44:15  | User: user1       | User logged in   
2024-04-26 00:44:31  | User: user1       | User logged in   
2024-04-26 00:44:45  | User: user1       | User logged in   
2024-04-26 00:45:36  | User: user1       | User logged in   
2024-04-26 00:46:32  | User: user1       | User logged in   
2024-04-26 00:47:38  | User: user1       | User logged in   
2024-04-26 00:47:56  | User: user1       | User logged in   
2024-04-26 00:49:36  | User: user1       | User logged in   
2024-04-26 00:50:11  | User: user1       | User logged in   
2024-04-26 00:50:56  | User: user1       | User logged in   
2024-04-26 00:51:44  | User: user1       | User logged in   
2024-04-26 00:52:26  | User: user1       | User logged in   
2024-04-26 00:52:42  | User: user1       | User user1 assigned to house 2
2024-04-26 13:55:27  | User: manager1    | User logged in   
2024-04-26 14:12:39  | User: manager1    | Successful account creation
2024-04-26 14:12:52  | User: amongusinternational | User logged in   
2024-04-26 14:12:56  | User: amongusinternational | User amongusinternational enrolled in the volunteer scheme
2024-04-26 14:13:59  | User: amongusinternational | User logged in   
2024-04-26 14:50:41  | User: amongusinternational | Failed account creation
2024-04-26 14:50:43  | User: amongusinternational | Failed account creation
2024-04-26 14:50:45  | User: amongusinternational | Failed account creation
2024-04-26 14:52:41  | User: amongusinternational | Failed account creation
2024-04-26 14:54:36  | User: UNKNOWN     | Failed account creation
2024-04-26 14:56:33  | User: UNKNOWN     | Failed account creation
2024-04-26 14:57:58  | User: UNKNOWN     | Failed account creation
2024-04-26 15:00:44  | User: UNKNOWN     | Failed account creation
2024-04-26 15:01:20  | User: UNKNOWN     | Failed account creation
2024-04-26 15:01:23  | User: UNKNOWN     | Failed account creation
2024-04-26 15:01:29  | User: UNKNOWN     | Failed account creation
2024-04-26 15:01:53  | User: UNKNOWN     | Successful account creation
2024-04-26 15:02:01  | User: UNKNOWN     | Login attempt failed
2024-04-26 15:02:05  | User: username1   | User logged in   
2024-04-26 15:02:23  | User: username1   | User username1 enrolled in the volunteer scheme
2024-04-26 15:04:15  | User: username1   | User logged in   
2024-04-26 15:04:26  | User: username1   | User logged in   
2024-04-26 15:05:20  | User: username1   | User logged in   
2024-04-26 15:05:29  | User: username1   | User username1 assigned to house 4
2024-04-26 15:05:44  | User: username1   | User username1 enrolled in task 5
2024-04-26 15:06:48  | User: username1   | User username1 enrolled in task 4
2024-04-26 15:06:52  | User: username1   | User username1 enrolled in task 6
2024-04-26 15:08:16  | User: username1   | User username1 enrolled in task 7
2024-04-26 15:11:16  | User: username1   | User logged in   
2024-04-26 15:11:24  | User: username1   | User username1 enrolled in task 1
2024-04-26 15:12:49  | User: manager1    | User logged in   
2024-04-26 15:18:40  | User: manager1    | User logged in   
2024-04-26 15:19:22  | User: manager1    | User logged in   
2024-04-26 15:22:19  | User: manager1    | User logged in   
2024-04-26 15:22:49  | User: manager1    | User logged in   
2024-04-26 15:23:14  | User: manager1    | User logged in   
2024-04-26 15:24:05  | User: manager1    | User logged in   
